,home_team,away_team,defteam,yardline_100,fourth_down_converted,pass_length,penalty,down,yards_after_catch,play_type,game_seconds_remaining,air_yards,total_home_score,total_away_score,ydstogo,yards_gained,year,GameClock,yardline_half,score_diff
558,CAR,NO,NO,46.0,1.0,short,0.0,4.0,10.0,pass,198.0,2.0,10,42,2,12,2019,3:18:00,4.0,-32
559,TB,ATL,TB,32.0,0.0,,0.0,4.0,,run,2743.0,,0,10,1,-1,2019,45:43:00,18.0,-10
560,TB,ATL,ATL,2.0,1.0,short,0.0,4.0,1.0,pass,2427.0,1.0,6,10,2,2,2019,40:27:00,48.0,-4
561,TB,ATL,TB,19.0,0.0,short,0.0,4.0,,pass,737.0,0.0,21,16,1,0,2019,12:17:00,31.0,5
562,TB,ATL,TB,63.0,1.0,short,0.0,4.0,3.0,pass,79.0,3.0,21,19,4,6,2019,1:19:00,13.0,2
563,NYG,PHI,NYG,38.0,0.0,short,0.0,4.0,,pass,3322.0,3.0,0,0,7,0,2019,55:22:00,12.0,0
564,NYG,PHI,NYG,26.0,1.0,,0.0,4.0,,run,1961.0,,3,3,1,2,2019,32:41:00,24.0,0
565,NYG,PHI,PHI,37.0,1.0,,0.0,4.0,,run,1529.0,,3,10,1,17,2019,25:29:00,13.0,-7
566,NYG,PHI,PHI,38.0,0.0,short,0.0,4.0,,pass,1238.0,3.0,10,10,4,0,2019,20:38:00,12.0,0
567,NYG,PHI,PHI,61.0,0.0,,0.0,4.0,,run,480.0,,17,27,2,0,2019,8:00:00,11.0,-10
568,NYG,PHI,PHI,13.0,1.0,short,0.0,4.0,4.0,pass,14.0,5.0,17,34,7,9,2019,0:14:00,37.0,-17
569,HOU,TEN,TEN,2.0,1.0,,0.0,4.0,,run,3185.0,,0,0,1,1,2019,53:05:00,48.0,0
570,HOU,TEN,TEN,42.0,1.0,short,0.0,4.0,2.0,pass,1295.0,1.0,7,21,2,3,2019,21:35:00,8.0,-14
571,HOU,TEN,TEN,30.0,0.0,short,0.0,4.0,,pass,210.0,15.0,14,28,7,0,2019,3:30:00,20.0,-14
572,HOU,TEN,TEN,31.0,0.0,short,0.0,4.0,,pass,100.0,5.0,14,35,7,0,2019,1:40:00,19.0,-21
573,DAL,WAS,WAS,27.0,1.0,,0.0,4.0,,run,3346.0,,0,0,1,2,2019,55:46:00,23.0,0
574,DAL,WAS,DAL,18.0,0.0,short,0.0,4.0,,pass,2694.0,7.0,6,0,4,0,2019,44:54:00,32.0,6
575,DAL,WAS,DAL,39.0,0.0,deep,0.0,4.0,,pass,2201.0,22.0,13,3,5,0,2019,36:41:00,11.0,10
576,DAL,WAS,DAL,51.0,0.0,short,0.0,4.0,,pass,823.0,3.0,37,16,2,0,2019,13:43:00,1.0,21
577,BAL,PIT,PIT,89.0,1.0,,0.0,4.0,,run,559.0,,19,10,1,2,2019,9:19:00,39.0,9
578,BAL,PIT,BAL,81.0,0.0,,0.0,4.0,,run,281.0,,25,10,10,0,2019,4:41:00,31.0,15
579,BAL,PIT,PIT,45.0,0.0,short,0.0,4.0,,pass,30.0,5.0,28,10,6,0,2019,0:30:00,5.0,18
580,JAX,IND,JAX,80.0,0.0,deep,0.0,4.0,,pass,256.0,50.0,38,20,10,0,2019,4:16:00,30.0,18
581,DEN,OAK,DEN,1.0,0.0,,0.0,4.0,,run,2054.0,,3,3,1,0,2019,34:14:00,49.0,0
582,DEN,OAK,DEN,73.0,0.0,deep,0.0,4.0,,pass,133.0,22.0,16,9,4,0,2019,2:13:00,23.0,7
583,DEN,OAK,DEN,45.0,1.0,short,0.0,4.0,0.0,pass,42.0,11.0,16,9,2,11,2019,0:42:00,5.0,7
584,LA,ARI,ARI,83.0,0.0,,0.0,4.0,,run,2985.0,,3,0,7,6,2019,49:45:00,33.0,3
585,SEA,SF,SF,31.0,0.0,,0.0,4.0,,run,1849.0,,0,13,1,0,2019,30:49:00,19.0,-13
586,SEA,SF,SF,12.0,1.0,short,0.0,4.0,0.0,pass,42.0,11.0,21,26,10,11,2019,0:42:00,38.0,-5
587,SEA,SF,SF,5.0,0.0,short,0.0,4.0,0.0,pass,12.0,4.0,21,26,5,4,2019,0:12:00,45.0,-5
